job_id,is_negotiable,unit,min_salary,max_salary,currency,min_estimate,max_estimate,currency_estimate
2033678,0,MONTH,700,1000,USD,0,0,VND
2033327,1,MONTH,0,0,VND,0,0,VND
2033328,0,MONTH,0,0,VND,0,0,VND
2033479,1,MONTH,0,0,VND,0,0,VND
2033499,1,MONTH,0,0,VND,0,0,VND
2033460,0,MONTH,0,0,VND,0,0,VND
2033483,1,MONTH,0,0,VND,0,0,VND
2033478,1,MONTH,0,0,VND,0,0,USD
2033496,0,MONTH,10000000,30000000,VND,0,0,VND
2033500,0,MONTH,3000,4000,USD,0,0,VND
2033482,1,MONTH,0,0,VND,0,0,VND
2033484,1,MONTH,0,0,VND,0,0,VND
2033331,0,MONTH,1000,2000,USD,0,0,VND
2033611,1,MONTH,0,0,VND,0,0,VND
2033614,0,MONTH,0,2000,USD,0,0,VND
2033565,1,MONTH,0,0,VND,0,0,VND
2033610,0,MONTH,0,0,VND,0,0,VND
2033563,1,MONTH,0,0,VND,0,0,VND
2033613,1,MONTH,0,0,USD,0,0,VND
2033572,1,MONTH,0,0,VND,0,0,VND
2033567,1,MONTH,0,0,VND,0,0,VND
2033607,0,MONTH,1000,2000,USD,0,0,VND
2033562,1,MONTH,0,0,VND,0,0,VND
2033501,0,MONTH,20000000,30000000,VND,0,0,VND
2033604,0,MONTH,8000000,10000000,VND,0,0,VND
2033616,1,MONTH,0,0,VND,0,0,VND
2033617,0,MONTH,9000000,10000000,VND,0,0,VND
2033618,1,MONTH,0,0,VND,0,0,VND
2033615,0,MONTH,10000000,20000000,VND,0,0,VND
2033612,1,MONTH,0,0,USD,0,0,VND
2033189,1,MONTH,0,0,USD,0,0,VND
2033489,1,MONTH,0,0,VND,0,0,VND
2033433,1,MONTH,0,0,VND,0,0,VND
2033447,0,MONTH,0,0,VND,0,0,VND
2033432,1,MONTH,0,0,VND,0,0,VND
2033431,1,MONTH,0,0,VND,0,0,VND
2033430,1,MONTH,0,0,VND,15000000,24000000,VND
2033490,1,MONTH,0,0,VND,0,0,VND
2033449,1,MONTH,0,0,VND,0,0,VND
2033448,1,MONTH,0,0,VND,0,0,VND
2033491,1,MONTH,0,0,VND,0,0,VND
2033435,1,MONTH,0,0,VND,0,0,VND
2033603,1,MONTH,0,0,VND,0,0,VND
2033494,1,MONTH,0,0,VND,0,0,VND
2033493,1,MONTH,0,0,VND,0,0,VND
2033601,1,MONTH,0,0,VND,0,0,VND
2033605,1,MONTH,0,0,VND,0,0,VND
2033495,0,MONTH,0,0,VND,0,0,VND
2033600,1,MONTH,0,0,VND,0,0,VND
2033492,1,MONTH,0,0,VND,0,0,VND
2033598,0,MONTH,20000000,40000000,VND,0,0,VND
2033602,0,MONTH,0,0,VND,0,0,VND
2033599,0,MONTH,20000000,30000000,VND,0,0,VND
2033606,1,MONTH,0,0,VND,0,0,VND
2033609,1,MONTH,0,0,VND,0,0,VND
2033265,0,MONTH,0,1000,USD,0,0,VND
2033423,0,MONTH,1000,3000,USD,0,0,VND
2033528,1,MONTH,0,0,USD,0,0,VND
2033529,1,MONTH,0,0,USD,0,0,VND
2033266,1,MONTH,0,0,VND,0,0,VND
2033523,0,MONTH,0,30000000,VND,0,0,VND
2033525,1,MONTH,0,0,VND,0,0,VND
2033527,1,MONTH,0,0,USD,0,0,VND
2033585,0,MONTH,0,2000,USD,0,0,VND
2033592,0,MONTH,1000,1000,USD,0,0,USD
2033586,0,MONTH,0,2000,USD,0,0,VND
2033589,0,MONTH,1000,2000,USD,0,0,VND
2033587,1,MONTH,0,0,USD,1500,2000,VND
2033531,0,MONTH,1000,2000,USD,0,0,VND
2033591,0,MONTH,2000,2000,USD,0,0,USD
2033532,0,MONTH,1000,2000,USD,0,0,VND
